Graph,Component,Freq,Layer,Metric,Time,Power,Freq_Host
alex,G,0,6,trans,,,7.0
alex,G,0,7,in,,,7.0
alex,G,0,7,task,16.6357,3655.090909090909,7.0
alex,G,0,7,out,0.5286,,7.0
alex,G,0,7,trans,,,7.0
alex,G,1,0,in,54.2685,3305.161502320773,0.0
alex,G,1,0,task,30.1347,4083.796917293233,0.0
alex,G,1,0,out,,,0.0
alex,G,1,0,trans,0.0,,0.0
alex,G,1,1,in,,,0.0
alex,G,1,1,task,55.064,4067.9460344555073,0.0
alex,G,1,1,out,,,0.0
alex,G,1,1,trans,,,0.0
alex,G,1,2,in,,,0.0
alex,G,1,2,task,24.415,3984.962622549019,0.0
alex,G,1,2,out,,,0.0
alex,G,1,2,trans,,,0.0
alex,G,1,3,in,,,0.0
alex,G,1,3,task,21.2076,3754.18498168498,0.0
alex,G,1,3,out,,,0.0
alex,G,1,3,trans,,,0.0
alex,G,1,4,in,,,0.0
alex,G,1,4,task,16.3228,3683.871666666667,0.0
alex,G,1,4,out,,,0.0
alex,G,1,4,trans,,,0.0
alex,G,1,5,in,,,0.0
alex,G,1,5,task,39.9835,4436.264692307691,0.0
alex,G,1,5,out,,,0.0
alex,G,1,5,trans,,,0.0
alex,G,1,6,in,,,0.0
alex,G,1,6,task,17.7475,4310.391608391608,0.0
alex,G,1,6,out,,,0.0
alex,G,1,6,trans,,,0.0
alex,G,1,7,in,,,0.0
